0  1  2  3  4 5
01  270   -49.72   0  1	0
02  270   -41.72   0  3	16
03  270   -33.72   0  3	15
04  270   -25.72   0  3	14
05  270   -17.72   0  3	13
06  270   -9.72    0  3	12
07  270   0        0  3	12
08  270   8        0  3	11
09  270   16       0  3	11
10  270   24       0  3	10
11  270   32       0  3	10
12  270   40       0  3	10
13  270   48       0  3	9 
14  270   56       0  3	9 
15  270   64       0  3	9 
16  270   72       0  3	8 
17  270   80       0  3	8 
18  270   88.89    0  2	8 
19  270   90.09    0  2	7 
20  270   93.59    0  2	6 
21  270   95.69    0  2	5 
22  270   97.79    0  2	5 
23  270   99.64    0  2	4 
24  270   101.49   0  2	4 
25  270   103.34   0  2	3 
26  270   105.19   0  2	3 
27  270   107.04   0  2	2 
28  270   108.89   0  2	2 
29  270   110.74   0  2	2 
30  270   113.74   0  3	1 
