1	4001	3018	531	101.144
2	4002	3018	1031	97.971
3	4003	3018	2031	101.144
4	4004	3018	2531	97.971
5	4005	3018	543	101.144
6	4006	3018	1043	97.971
7	4007	3018	2043	101.144
8	4008	3018	2543	97.971
9	4009	3019	529	109.087
10	4010	3019	1029	106.151
11	4011	3019	2029	109.087
12	4012	3019	2529	106.151
13	4013	3019	545	109.087
14	4014	3019	1045	106.151
15	4015	3019	2045	109.087
16	4016	3019	2545	106.151
17	4017	3020	527	120.199
18	4018	3020	1027	117.542
19	4019	3020	2027	120.199
20	4020	3020	2527	117.542
21	4021	3020	547	120.199
22	4022	3020	1047	117.542
23	4023	3020	2047	120.199
24	4024	3020	2547	117.542
25	4025	3021	525	131.15
26	4026	3021	1025	128.719
27	4027	3021	2025	131.15
28	4028	3021	2525	128.719
29	4029	3021	549	131.15
30	4030	3021	1049	128.719
31	4031	3021	2049	131.15
32	4032	3021	2549	128.719
33	4033	3022	523	142.869
34	4034	3022	1023	140.641
35	4035	3022	2023	142.869
36	4036	3022	2523	140.641
37	4037	3022	551	142.869
38	4038	3022	1051	140.641
39	4039	3022	2051	142.869
40	4040	3022	2551	140.641
41	4041	3023	521	155.022
42	4042	3023	1021	152.971
43	4043	3023	2021	155.022
44	4044	3023	2521	152.971
45	4045	3023	553	155.022
46	4046	3023	1053	152.971
47	4047	3023	2053	155.022
48	4048	3023	2553	152.971
49	4049	3024	519	167.657
50	4050	3024	1019	165.762
51	4051	3024	2019	167.657
52	4052	3024	2519	165.762
53	4053	3024	555	167.657
54	4054	3024	1055	165.762
55	4055	3024	2055	167.657
56	4056	3024	2555	165.762
57	4057	3025	517	180.673
58	4058	3025	1017	178.916
59	4059	3025	2017	180.673
60	4060	3025	2517	178.916
61	4061	3025	557	180.673
62	4062	3025	1057	178.916
63	4063	3025	2057	180.673
64	4064	3025	2557	178.916
65	4065	3026	515	193.994
66	4066	3026	1015	192.359
67	4067	3026	2015	193.994
68	4068	3026	2515	192.359
69	4069	3026	559	193.994
70	4070	3026	1059	192.359
71	4071	3026	2059	193.994
72	4072	3026	2559	192.359
73	4073	3027	513	207.56
74	4074	3027	1013	206.033
75	4075	3027	2013	207.56
76	4076	3027	2513	206.033
77	4077	3027	561	207.56
78	4078	3027	1061	206.033
79	4079	3027	2061	207.56
80	4080	3027	2561	206.033
81	4081	3028	511	221.327
82	4082	3028	1011	219.895
83	4083	3028	2011	221.327
84	4084	3028	2511	219.895
85	4085	3028	563	221.327
86	4086	3028	1063	219.895
87	4087	3028	2063	221.327
88	4088	3028	2563	219.895
89	4089	3029	509	235.26
90	4090	3029	1009	233.913
91	4091	3029	2009	235.26
92	4092	3029	2509	233.913
93	4093	3029	565	235.26
94	4094	3029	1065	233.913
95	4095	3029	2065	235.26
96	4096	3029	2565	233.913
97	4097	3068	589	101.144
98	4098	3068	1089	97.971
99	4099	3068	2089	101.144
100	4100	3068	2589	97.971
101	4101	3068	601	101.144
102	4102	3068	1101	97.971
103	4103	3068	2101	101.144
104	4104	3068	2601	97.971
105	4105	3069	587	109.087
106	4106	3069	1087	106.151
107	4107	3069	2087	109.087
108	4108	3069	2587	106.151
109	4109	3069	603	109.087
110	4110	3069	1103	106.151
111	4111	3069	2103	109.087
112	4112	3069	2603	106.151
113	4113	3070	585	120.199
114	4114	3070	1085	117.542
115	4115	3070	2085	120.199
116	4116	3070	2585	117.542
117	4117	3070	605	120.199
118	4118	3070	1105	117.542
119	4119	3070	2105	120.199
120	4120	3070	2605	117.542
121	4121	3071	583	131.15
122	4122	3071	1083	128.719
123	4123	3071	2083	131.15
124	4124	3071	2583	128.719
125	4125	3071	607	131.15
126	4126	3071	1107	128.719
127	4127	3071	2107	131.15
128	4128	3071	2607	128.719
129	4129	3072	581	142.869
130	4130	3072	1081	140.641
131	4131	3072	2081	142.869
132	4132	3072	2581	140.641
133	4133	3072	609	142.869
134	4134	3072	1109	140.641
135	4135	3072	2109	142.869
136	4136	3072	2609	140.641
137	4137	3073	579	155.022
138	4138	3073	1079	152.971
139	4139	3073	2079	155.022
140	4140	3073	2579	152.971
141	4141	3073	611	155.022
142	4142	3073	1111	152.971
143	4143	3073	2111	155.022
144	4144	3073	2611	152.971
145	4145	3074	577	167.657
146	4146	3074	1077	165.762
147	4147	3074	2077	167.657
148	4148	3074	2577	165.762
149	4149	3074	613	167.657
